year,municipality,barcelona neighbourhoods,concept,status,value
2015,Barcelona,Sant Gervasi-Galvany,employed population (%),,62.7
2015,Barcelona,Sant Gervasi-Galvany,low-skilled workers (%),,2.5
2015,Barcelona,Sant Gervasi-Galvany,population with low studies (%),.., 
2015,Barcelona,Sant Gervasi-Galvany,young population without post-compulsory education (%),.., 
2015,Barcelona,Sant Gervasi-Galvany,foreign population from low or middle income countries (%),,5
2015,Barcelona,Sant Gervasi-Galvany,average income per person (€),,23927
2015,Barcelona,el Putxet i el Farró,employed population (%),,62.3
2015,Barcelona,el Putxet i el Farró,low-skilled workers (%),,3.1
2015,Barcelona,el Putxet i el Farró,population with low studies (%),.., 
2015,Barcelona,el Putxet i el Farró,young population without post-compulsory education (%),.., 
2015,Barcelona,el Putxet i el Farró,foreign population from low or middle income countries (%),,6
2015,Barcelona,el Putxet i el Farró,average income per person (€),,19486
2015,Barcelona,Vallcarca i els Penitents,employed population (%),,63.1
2015,Barcelona,Vallcarca i els Penitents,low-skilled workers (%),,4.8
2015,Barcelona,Vallcarca i els Penitents,population with low studies (%),.., 
2015,Barcelona,Vallcarca i els Penitents,young population without post-compulsory education (%),.., 
2015,Barcelona,Vallcarca i els Penitents,foreign population from low or middle income countries (%),,6.8
2015,Barcelona,Vallcarca i els Penitents,average income per person (€),,17889
2015,Barcelona,el Coll,employed population (%),,61.1
2015,Barcelona,el Coll,low-skilled workers (%),,6.7
2015,Barcelona,el Coll,population with low studies (%),.., 
2015,Barcelona,el Coll,young population without post-compulsory education (%),.., 
2015,Barcelona,el Coll,foreign population from low or middle income countries (%),,8.6
2015,Barcelona,el Coll,average income per person (€),,13668
2015,Barcelona,la Salut,employed population (%),,61.7
2015,Barcelona,la Salut,low-skilled workers (%),,4.7
2015,Barcelona,la Salut,population with low studies (%),.., 
2015,Barcelona,la Salut,young population without post-compulsory education (%),.., 
2015,Barcelona,la Salut,foreign population from low or middle income countries (%),,6.2
2015,Barcelona,la Salut,average income per person (€),,16966
2015,Barcelona,la Vila de Gràcia,employed population (%),,60.3
2015,Barcelona,la Vila de Gràcia,low-skilled workers (%),,5.2
2015,Barcelona,la Vila de Gràcia,population with low studies (%),.., 
